timestamp,plot,sensor_type,value,is_anomaly
2025-12-12 18:59:36.027963+00:00,1,TEMPERATURE,28.521085146596295,0
2025-12-12 18:59:36.352890+00:00,1,HUMIDITY,44.42888879586339,0
2025-12-12 18:59:36.654775+00:00,1,MOISTURE,53.701418437417374,0
2025-12-12 18:59:36.945697+00:00,2,TEMPERATURE,27.87767947413537,0
2025-12-12 18:59:37.246019+00:00,2,HUMIDITY,45.92783285551354,0
2025-12-12 18:59:37.539821+00:00,2,MOISTURE,51.7190547125107,0
2025-12-12 18:59:37.864593+00:00,3,TEMPERATURE,27.578885815209656,0
2025-12-12 18:59:38.180463+00:00,3,HUMIDITY,47.32651560068784,0
2025-12-12 18:59:38.453534+00:00,3,MOISTURE,66.60822052140475,0
2025-12-12 18:59:38.765410+00:00,4,TEMPERATURE,28.25550672934933,0
2025-12-12 18:59:39.078784+00:00,4,HUMIDITY,42.345603783374855,0
2025-12-12 18:59:39.483896+00:00,4,MOISTURE,58.23010803008843,0
2025-12-12 18:59:39.788243+00:00,1,TEMPERATURE,28.488472125713628,0
2025-12-12 18:59:40.083255+00:00,1,HUMIDITY,44.722163484919356,0
2025-12-12 18:59:40.392822+00:00,1,MOISTURE,53.74276109187375,0
2025-12-12 18:59:40.718787+00:00,2,TEMPERATURE,27.86133347498366,0
2025-12-12 18:59:41.122484+00:00,2,HUMIDITY,45.77826415952824,0
2025-12-12 18:59:41.425909+00:00,2,MOISTURE,51.71001489856328,0
2025-12-12 18:59:41.680058+00:00,3,TEMPERATURE,27.619420222916418,0
2025-12-12 18:59:41.958534+00:00,3,HUMIDITY,47.22986160402616,0
2025-12-12 18:59:42.256868+00:00,3,MOISTURE,66.5726100528627,0
2025-12-12 18:59:42.674935+00:00,4,TEMPERATURE,28.285089939846756,0
2025-12-12 18:59:42.974101+00:00,4,HUMIDITY,42.36923989091676,0
2025-12-12 18:59:43.309855+00:00,4,MOISTURE,58.175423148615934,0
2025-12-12 18:59:43.615926+00:00,1,TEMPERATURE,28.37028093969648,0
2025-12-12 18:59:43.897452+00:00,1,HUMIDITY,44.916015952868754,0
2025-12-12 18:59:44.260478+00:00,1,MOISTURE,53.67468524931812,0
2025-12-12 18:59:44.594360+00:00,2,TEMPERATURE,27.935126826990317,0
2025-12-12 18:59:44.907046+00:00,2,HUMIDITY,45.66781072655042,0
2025-12-12 18:59:45.219820+00:00,2,MOISTURE,51.780369030256566,0
2025-12-12 18:59:45.533141+00:00,3,TEMPERATURE,27.69411053837069,0
2025-12-12 18:59:45.823682+00:00,3,HUMIDITY,46.782044931475916,0
2025-12-12 18:59:46.156785+00:00,3,MOISTURE,66.60398935233425,0
2025-12-12 18:59:46.458352+00:00,4,TEMPERATURE,28.204022705068525,0
2025-12-12 18:59:46.790650+00:00,4,HUMIDITY,42.611972904813356,0
2025-12-12 18:59:47.085980+00:00,4,MOISTURE,58.10844339423758,0
2025-12-12 18:59:47.410071+00:00,1,TEMPERATURE,28.284094283695747,0
2025-12-12 18:59:47.814638+00:00,1,HUMIDITY,45.17565638623313,0
2025-12-12 18:59:48.100331+00:00,1,MOISTURE,53.69375826639413,0
2025-12-12 18:59:48.383744+00:00,2,TEMPERATURE,27.91839879154893,0
2025-12-12 18:59:48.661426+00:00,2,HUMIDITY,45.696761371839656,0
2025-12-12 18:59:48.955330+00:00,2,MOISTURE,51.77217590303617,0
2025-12-12 18:59:49.250347+00:00,3,TEMPERATURE,27.71802732695265,0
2025-12-12 18:59:49.536196+00:00,3,HUMIDITY,46.88023328637262,0
2025-12-12 18:59:49.834123+00:00,3,MOISTURE,66.60027093358704,0
2025-12-12 18:59:50.121588+00:00,4,TEMPERATURE,28.202412995212015,0
2025-12-12 18:59:50.417118+00:00,4,HUMIDITY,42.99172255669793,0
2025-12-12 18:59:50.697800+00:00,4,MOISTURE,58.14909034066677,0
2025-12-12 18:59:50.994995+00:00,1,TEMPERATURE,28.30934208090536,0
2025-12-12 18:59:51.378268+00:00,1,HUMIDITY,45.330803736193765,0
2025-12-12 18:59:51.683337+00:00,1,MOISTURE,53.60968707798128,0
2025-12-12 18:59:51.963925+00:00,2,TEMPERATURE,25.208725436014614,1
2025-12-12 18:59:52.299944+00:00,2,HUMIDITY,45.328625228694946,0
2025-12-12 18:59:52.427416+00:00,2,MOISTURE,51.70953792945443,0
2025-12-12 18:59:52.547553+00:00,3,TEMPERATURE,27.80292914595697,0
2025-12-12 18:59:52.765065+00:00,3,HUMIDITY,46.48192302081384,0
2025-12-12 18:59:52.876757+00:00,3,MOISTURE,66.53453524175023,0
2025-12-12 18:59:53.116800+00:00,4,TEMPERATURE,28.171814781977016,0
